,obs,t
0,-0.014925851117071827,0.0
1,0.025597767610989933,0.25
2,0.1837787993979036,0.5
3,0.15336246071596055,0.75
4,0.30852309247590765,1.0
5,0.2844157240783459,1.25
6,0.2627160613036223,1.5
7,0.3244384463040782,1.75
8,0.44599225314021573,2.0
9,0.3951748351176758,2.25
10,0.4580170000956717,2.5
11,0.4822786563000695,2.75
12,0.45644193260670074,3.0
13,0.6884515888187546,3.25
14,0.6243822440675979,3.5
15,0.5834736827440713,3.75
16,0.5667149627650824,4.0
17,0.5785824182368273,4.25
18,0.7165915110090363,4.5
19,0.6186085899213459,4.75
20,0.7480963715357696,5.0
21,0.765340287416236,5.25
22,0.7667578573083612,5.5
23,0.7891072479597003,5.75
24,0.781238391281102,6.0
25,0.8511618754710514,6.25
26,0.7034764842828951,6.5
27,0.8280230622571395,6.75
28,0.8164021809194328,7.0
29,0.8351995048655656,7.25
30,0.7779570936315942,7.5
31,0.826114963580159,7.75
32,0.822505663311314,8.0
33,0.8789580941521531,8.25
34,0.9836464254934436,8.5
35,0.9633436535619732,8.75
36,0.8715560311121834,9.0
37,0.9463726106324126,9.25
38,0.8685713201230507,9.5
39,1.0109122448921257,9.75
