,obs,t
0,-0.024825438311883406,0.0
1,0.10622471068939408,0.25
2,0.16055342541237855,0.5
3,0.1743336332510133,0.75
4,0.3047891847873824,1.0
5,0.3357857440071509,1.25
6,0.3254994217838586,1.5
7,0.36648360758836485,1.75
8,0.4905613638024437,2.0
9,0.5096638420866967,2.25
10,0.5996086045555544,2.5
11,0.6554903125861591,2.75
12,0.6640339361774639,3.0
13,0.6504429614966425,3.25
14,0.7061194584749418,3.5
15,0.8388459013082047,3.75
16,0.8124327925721317,4.0
17,0.7166579321479289,4.25
18,0.6959839842959231,4.5
19,0.8193429972199939,4.75
20,0.8328686536089384,5.0
21,0.822357971026788,5.25
22,0.9295688252292733,5.5
23,0.8043893817677693,5.75
24,0.8918292583151436,6.0
25,0.8901160141366868,6.25
26,0.8665017779587902,6.5
27,0.8753818982659383,6.75
28,0.9511325969509883,7.0
29,0.9709562970221148,7.25
30,1.0042001310139501,7.5
31,0.8829559483308852,7.75
32,0.9725013488638383,8.0
33,0.8855372480066743,8.25
34,0.9674324826508164,8.5
35,0.8978320139777884,8.75
36,0.9789922515885469,9.0
37,0.9774311356044458,9.25
38,0.9401529392153294,9.5
39,0.9644691562592725,9.75
